district,top1,top1Perc,top2,top2Perc,top3,top3Perc,top4,top4Perc,top5,top5Perc,totalCount,სხვა,ძე,ია,ვა,ვი,ან,უა,კო,კი,ტი,დი,ზი,ოვ,ნა,ხი,სი,ბა,ევ,ჩი,დე,ის,ინ,ლო,გი,ვე,ერ,უკ,ბი,რე,იჩ,იკ,დუ,ოი,ლა,გა,კა,ნც,თი,და,აკ,არ,კე,ნე,იხ,სა,რა,ეც,ანი,ური,ელი,ღლი,ალი,უში,შვილი
ხობი,ია,54.6,ვა,18.7,ძე,12.5,შვილი,5.6,უა,5.2,29465,132,3692,16086,5522,72,2,1525,34,19,6,2,0,5,19,9,9,6,3,0,1,3,5,0,0,0,0,7,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,551,22,61,5,0,1,1657
ბორჯომი,ძე,45.3,შვილი,27.4,ანი,6.3,ვი,4.8,ელი,3.4,27597,185,12493,855,689,1315,688,111,133,26,10,185,0,92,19,43,7,0,17,22,2,22,12,62,0,0,3,5,0,0,0,2,6,0,0,6,0,5,2,1,0,1,2,0,0,0,0,1,1745,249,937,3,63,5,7573
ვანი,ძე,64.2,შვილი,24.1,ია,4.8,ანი,1.8,სი,1.2,26857,26,17235,1290,327,115,1,243,12,15,21,9,1,4,5,108,332,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,496,7,116,0,3,3,6476
დუშეთი,შვილი,50.2,ური,19.5,ძე,17.9,სხვა,7.5,ელი,2.2,26408,1981,4722,98,129,244,1,25,7,22,4,29,40,1,6,1,4,0,1,4,0,1,1,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,97,5150,576,0,3,2,13251
ხულო,ძე,98.3,ანი,0.7,შვილი,0.3,ელი,0.3,სხვა,0.2,24329,57,23905,6,12,1,0,1,0,2,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,29,64,0,0,0,79
ხონი,ძე,56.1,ანი,11.8,შვილი,11.5,ია,8.7,ვა,8.2,24242,42,13589,2120,1992,83,14,317,5,13,2,4,5,6,8,49,13,3,1,0,33,0,2,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,2867,119,143,0,2,2,2785
წალკა,ან,28.2,ვა,25.9,ვი,22.4,ძე,15.9,ანი,3.3,24210,19,3849,40,6272,5422,6829,11,2,1,1,170,3,173,2,1,1,0,36,0,0,185,0,6,0,0,1,1,0,0,0,1,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,801,19,14,4,0,0,305
ტყიბული,ძე,68,შვილი,23.5,ანი,2.2,ია,1.8,ვა,1.6,23857,97,16219,436,389,117,4,35,26,25,28,14,8,0,25,35,12,92,1,1,1,2,1,9,0,0,4,0,0,1,0,2,2,0,0,0,0,0,0,0,2,1,0,0,2,0,0,3,518,14,61,1,58,1,5610
ბაღდათი,ძე,70.6,შვილი,17.4,ანი,3.5,ია,3,ვა,2,23376,72,16500,705,467,166,1,50,23,103,6,4,1,3,3,101,78,8,0,0,0,1,1,0,0,1,0,1,10,0,1,0,1,0,0,36,0,0,0,0,1,0,0,0,0,0,0,0,829,10,80,0,27,26,4060
დედოფლისწყარო,შვილი,61.4,ძე,13.4,ური,9,სხვა,4.4,ანი,3.7,23186,1029,3106,56,225,833,162,3,115,30,6,13,57,24,30,1,27,0,6,1,0,19,7,0,1,6,1,2,1,0,2,1,5,1,0,0,5,0,0,1,1,1,0,0,1,0,1,0,849,2081,241,5,0,0,14230
ჩხოროწყუ,ია,54.4,ვა,27.3,უა,9.3,ძე,3.3,ანი,3.1,23160,89,767,12594,6326,41,8,2144,10,4,8,4,0,1,6,1,0,0,2,3,0,0,1,3,0,0,1,5,0,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0,2,0,0,1,711,8,11,0,0,0,400
დმანისი,ვა,35.7,ვი,34.1,შვილი,18.8,ძე,4.9,ანი,4.9,22940,95,1122,48,8182,7827,2,11,1,1,2,33,6,19,5,0,4,0,9,0,24,17,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1114,41,44,5,1,0,4313
ნინოწმინდა,ან,96.3,ძე,1,ვა,0.9,ოვ,0.7,ნა,0.2,22825,5,237,11,215,3,21977,0,5,8,0,0,0,159,54,0,0,0,28,0,0,2,39,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,53
აბაშა,ია,40.2,ვა,18.8,ძე,18.4,შვილი,13.5,უა,5.5,22042,88,4061,8850,4149,58,3,1217,7,8,46,4,0,2,6,26,4,8,1,4,1,1,4,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,362,48,84,2,3,4,2984
თეთრიწყარო,შვილი,32,ვი,19.9,ძე,15.7,ანი,14.3,ური,7.3,21906,200,3440,116,740,4366,167,125,57,17,1,492,0,61,31,1,30,1,33,14,0,52,2,7,3,0,4,2,0,0,2,1,9,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3122,1607,183,0,11,0,7003
ხარაგაული,ძე,72.5,შვილი,20.8,ანი,2.2,ელი,1.2,ია,1,20365,55,14764,200,145,42,1,8,2,1,8,2,12,0,2,92,3,0,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,456,18,240,0,67,0,4239
ჩოხატაური,ძე,69.4,შვილი,17.5,ია,4.9,ტი,2.3,ვა,1.6,18829,126,13076,916,306,73,6,238,10,5,424,5,1,2,6,1,3,2,0,0,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,186,20,103,0,0,15,3295
ქედა,ძე,95.7,შვილი,1.4,სხვა,1.4,ელი,0.5,ანი,0.3,15789,223,15109,37,8,0,1,2,0,0,2,3,23,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,86,1,0,0,227
ადიგენი,ძე,47.4,შვილი,42.9,ანი,3.9,ვა,1.1,ელი,1.1,15718,24,7446,165,177,114,134,26,10,10,8,0,1,7,9,2,0,12,8,5,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,612,18,170,4,0,0,6743
შუახევი,ძე,94,შვილი,3.4,ელი,1.5,ანი,0.5,გი,0.3,15231,4,14323,9,7,1,0,0,0,7,0,1,0,0,1,0,1,0,0,0,0,1,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,229,0,1,1,515
ამბროლაური,ძე,65.5,შვილი,19.9,ანი,8.8,ალი,1.7,ელი,1.6,11985,35,7847,96,45,33,1,6,0,29,1,1,1,0,1,37,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1053,8,192,0,207,0,2383
ცაგერი,ანი,44.5,ძე,41,შვილი,7.9,ვა,2.2,ელი,1.9,11969,31,4908,203,258,16,2,10,5,3,0,7,0,0,0,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5324,7,230,0,3,0,951
თიანეთი,შვილი,60.8,ური,18.1,სხვა,8.7,ძე,7.9,ელი,2.5,11073,961,871,39,43,78,2,4,3,6,1,4,8,0,4,0,1,0,0,2,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,2008,277,0,1,0,6728
ასპინძა,ძე,62.1,შვილი,18.7,ან,14.8,ური,1.7,ანი,1,9850,24,6121,19,16,43,1453,0,2,6,11,0,6,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,103,168,23,0,0,0,1846
მესტია,ანი,79.4,ძე,8.7,უა,7,ია,1.9,ელი,0.9,8441,47,736,158,46,3,3,595,2,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6701,6,79,0,2,0,53
ონი,ძე,49.8,შვილი,35.5,ელი,10.3,ანი,3.1,ვი,0.5,6829,11,3404,8,16,31,0,2,0,0,1,0,1,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,6,703,0,6,0,2421
ლენტეხი,ანი,80.7,ძე,11.7,ელი,3,ვა,2.9,შვილი,0.8,5948,4,696,40,171,1,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4798,3,180,0,0,1,46
ყაზბეგი,შვილი,52,ძე,17.8,ური,16.1,სხვა,7.4,ვი,2,5788,430,1033,28,88,116,3,2,11,1,1,4,13,1,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,934,14,3,62,0,3008
