index,lastNameEn,lastNameGe,count
166,devadze,დევაძე,2634
167,petriashvili,პეტრიაშვილი,2626
168,kakabadze,კაკაბაძე,2615
169,jalaghonia,ჯალაღონია,2573
170,akhmedova,ახმედოვა,2562
171,natsvlishvili,ნაცვლიშვილი,2553
172,jojua,ჯოჯუა,2543
173,oqropiridze,ოქროპირიძე,2536
174,zhghenti,ჟღენტი,2536
175,bliadze,ბლიაძე,2519
176,kontselidze,კონცელიძე,2515
177,goguadze,გოგუაძე,2499
178,tavadze,თავაძე,2489
179,bakhtadze,ბახტაძე,2479
180,nakashidze,ნაკაშიძე,2469
181,kharaishvili,ხარაიშვილი,2467
182,chkhikvadze,ჩხიკვაძე,2467
183,gogia,გოგია,2466
184,janashia,ჯანაშია,2459
185,ramishvili,რამიშვილი,2457
186,zhvania,ჟვანია,2448
187,qajaia,ქაჯაია,2447
188,qartvelishvili,ქართველიშვილი,2441
189,jokhadze,ჯოხაძე,2436
190,saralidze,სარალიძე,2410
191,dvali,დვალი,2384
192,musaevi,მუსაევი,2378
193,kandelaki,კანდელაკი,2376
194,tchkadua,ჭკადუა,2367
195,sarqisiani,სარქისიანი,2349
196,baqradze,ბაქრაძე,2345
197,peiqrishvili,ფეიქრიშვილი,2335
198,nadirashvili,ნადირაშვილი,2334
199,kereselidze,კერესელიძე,2315
200,tchighladze,ჭიღლაძე,2308
201,arabuli,არაბული,2306
202,chachanidze,ჩაჩანიძე,2302
203,vashakhmadze,ვაშაყმაძე,2301
204,musaeva,მუსაევა,2300
205,qutateladze,ქუთათელაძე,2289
206,dalaqishvili,დალაქიშვილი,2284
207,kheladze,ხელაძე,2274
208,kublashvili,კუბლაშვილი,2263
209,tsiqarishvili,წიქარიშვილი,2262
210,asanidze,ასანიძე,2255
211,beraia,ბერაია,2243
212,pavliashvili,პავლიაშვილი,2242
213,topuria,თოფურია,2242
214,sanikidze,სანიკიძე,2239
215,tkhemaladze,ტყემალაძე,2231
216,bakuradze,ბაკურაძე,2231
217,tavartqiladze,თავართქილაძე,2229
218,tcheishvili,ჭეიშვილი,2220
219,gvasalia,გვასალია,2220
220,grigoriani,გრიგორიანი,2216
221,bendeliani,ბენდელიანი,2203
222,geladze,გელაძე,2202
223,beriashvili,ბერიაშვილი,2200
224,papiashvili,პაპიაშვილი,2191
225,sajaia,საჯაია,2184
226,matiashvili,მათიაშვილი,2184
227,makhatadze,მახათაძე,2179
228,sharashidze,შარაშიძე,2175
229,khozrevanidze,ხოზრევანიძე,2172
230,dzneladze,ძნელაძე,2169
231,burduli,ბურდული,2142
232,imerlishvili,იმერლიშვილი,2139
233,khipiani,ყიფიანი,2134
234,kvinikadze,კვინიკაძე,2133
235,papava,პაპავა,2127
236,gogishvili,გოგიშვილი,2123
237,guliashvili,გულიაშვილი,2115
238,chkhartishvili,ჩხარტიშვილი,2104
239,nebieridze,ნებიერიძე,2103
240,chokheli,ჩოხელი,2103
241,meparishvili,მეფარიშვილი,2101
242,mindiashvili,მინდიაშვილი,2093
243,merebashvili,მერებაშვილი,2091
244,lagvilava,ლაგვილავა,2087
245,katcharava,კაჭარავა,2081
246,chachua,ჩაჩუა,2077
247,managadze,მანაგაძე,2067
248,janjghava,ჯანჯღავა,2063
249,jishkariani,ჯიშკარიანი,2047
250,janiashvili,ჯანიაშვილი,2047
251,latsabidze,ლაცაბიძე,2041
252,goginashvili,გოგინაშვილი,2035
253,gorgiladze,გორგილაძე,2030
254,adeishvili,ადეიშვილი,2029
255,khmaladze,ხმალაძე,2014
256,tughushi,ტუღუში,2006
257,takidze,ტაკიძე,1996
258,berdzenishvili,ბერძენიშვილი,1994
259,tskhadadze,ცხადაძე,1992
260,khatiashvili,ხატიაშვილი,1989
