rus,en,matched,matchedEngName
Резерешвили,rezereshvili,კეზერაშვილი,kezerashvili
Гобелиашвили,gobeliashvili,გობეჯიშვილი,gobejishvili
Келошвили,keloshvili,ელოშვილი,eloshvili
Данилина,danilina,დანილინა,danilina
Цурукьян,tsuruk'ian,წარუკიან,tsarukian
Туришвили,turishvili,ტურიშვილი,turishvili
Сухветава,sukhvetava,ცხვიტავა,tskhvitava
Титиевский,titievskii,ტიტევსკი,titevski
Хосидашвили,khosidashvili,ხოსიტაშვილი,khositashvili
Нытиков,nitikov,ნოვიკოვ,novikov
Кавшарадзе,kavsharadze,კავჟარაძე,kavzharadze
Терзиев,terziev,ტერზიევ,terziev
Гомуришвили,gomurishvili,გომურიშვილი,gomurishvili
Маргосия,margosiia,მარგოშია,margoshia
Заронян,zaronian,პარონიან,paronian
Мершев,mershev,მერსერ,merser
Маканов,makanov,მაკაროვ,makarov
Малемидзе,malemidze,მალასიძე,malasidze
Джалахов,dzhalakhov,ძახოვ,dzakhov
Лошак,loshak,ლოშაკი,loshaki
Берберян,berberian,ბერბერიანი,berberiani
Парджани,pardzhani,პარიზიანი,pariziani
Мусшудьян,musshud'ian,მუშკუდიანი,mushkudiani
Селиверстов,seliverstov,სელივერსტოვ,seliverstov
Кемлярич,kemliarich,კემულარია,kemularia
Мелещенко,meleschenko,მელნიჩენკო,melnichenko
Аллодашвили,allodashvili,ალადაშვილი,aladashvili
