rus,en,matched,matchedEngName
Халитин,khalitin,ხალიტბა,khalitba
Шульшевский,shul'shevskii,სტაშევსკი,stashevski
Бордов,bordov,ბორზოვა,borzova
Теималадзе,teimaladze,წამალაძე,tsamaladze
Азисов,azisov,აზიზოვ,azizov
Аракельнян,arakel'nian,არაკელიან,arakelian
Дошидзе,doshidze,დოლიძე,dolidze
Мержеевский,merzheevskii,მერჟეევსკი,merzheevski
Куберзешвили,kuberzeshvili,ხუბერაშვილი,khuberashvili
Чалодзе,chalodze,ჩალაძე,chaladze
Хохобая,khokhobaia,ხოხობაია,khokhobaia
Угрехенидзе,ugrekhenidze,უგრეხელიძე,ugrekhelidze
Ленчава,lenchava,ლანჩავა,lanchava
Кохалишвили,kokhalishvili,კუხალიშვილი,kukhalishvili
Помедошвили,pomedoshvili,მედოშვილი,medoshvili
Ибатов,ibatov,იბათოვა,ibatova
Шотирашвили,shotirashvili,შათირიშვილი,shatirishvili
Фешидзе,feshidze,ბეშიძე,beshidze
Мтилунишвили,mtilunishvili,მთიულიშვილი,mtiulishvili
Капытин,kapitin,ლაპატინ,lapatin
Мепконян,mepkonian,მელკონიან,melkonian
Здиширашвили,zdishirashvili,ედიშერაშვილი,edisherashvili
Бабущин,babuschin,გაბუჩია,gabuchia
Актая,aktaia,აკკაია,akkaia
Нататралашвили,natatralashvili,ნათათრალაშვილი,natatralashvili
Дегмелашвили,degmelashvili,დიღმელაშვილი,dighmelashvili
Пкень,pken',ფენ,pen
Гогалядзи,gogaliadzi,გოგალაძე,gogaladze
Коминский,kominskii,კამინსკი,kaminski
Лобанев,lobanev,ლობანოვა,lobanova
Пареишвили,pareishvili,ფარეიშვილი,pareishvili
Одинария,odinariia,ოდიშარია,odisharia
Гвинияшвилий,gviniiashvilii,ღვინიაშვილი,ghviniashvili
Кабасакалов,kabasakalov,კაბასაკალოვა,kabasakalova
Басяшвили,basiashvili,ბასიაშვილი,basiashvili
Леквтадез,lekvtadez,ლეკვთაძე,lekvtadze
Калганжан,kalganzhan,კალანიან,kalanian
Конарев,konarev,კონარევი,konarevi
Григорян (Георкян),grigorian (georkian),გრიგორიან-ხაკციან,grigorian-khaktsian
Ахзердов,akhzerdov,ახვერდოვ,akhverdov
Тарасиян,tarasiian,თამასიან,tamasian
Малышава,malishava,მალიშავა,malishava
Караханьяк,karakhan'iak,კარახანიან,karakhanian
Перади,peradi,ფერანი,perani
Каша,kasha,კაშია,kashia
Зорько,zor'ko,ზორენკო,zorenko
Джегреная,dzhegrenaia,ჯგერენაია,jgerenaia
Выжемов,vizhemov,ბიჩენოვ,bichenov
Дагалашвили,dagalashvili,მაღალაშვილი,maghalashvili
Камил,kamil,კამკია,kamkia
Калобаров,kalobarov,კამბაროვ,kambarov
Гадладзи,gadladzi,გელაძე,geladze
Незгиев,nezgiev,ლეზგიევი,lezgievi
Чиараков,chiarakov,ჩირაკოვი,chirakovi
