rus,en,matched,matchedEngName
Каратышвили,karatishvili,ხარატიშვილი,kharatishvili
Джанашьян,dzhanash'ian,დჟანამიან,dzhanamian
Галустошвили,galustoshvili,გალუსტაშვილი,galustashvili
Амрахов,amrakhov,ამრახოვი,amrakhovi
Цагаршвили,tsagarshvili,ცაგარეიშვილი,tsagareishvili
Субботин,subbotin,სუბბოტინი,subbotini
Хичихадзе,khichikhadze,ყინჩიყიძე,khinchikhidze
Илбакидзе,ilbakidze,ელბაქიძე,elbaqidze
Осипиашвили,osipiashvili,ოსიპაშვილი,osipashvili
Баварджашвили,bavardzhashvili,გავარდაშვილი,gavardashvili
Ватытадзе,vatitadze,ვატიტაძე,vatitadze
Кириаков,kiriakov,კირიაკოვ,kiriakov
Лепарташвили,lepartashvili,ლიპარტაშვილი,lipartashvili
Имран,imran,ამრან,amran
Бахтинов,bakhtinov,ბახჩინოვ,bakhchinov
Каща,kascha,კაშია,kashia
Намченадзе,namchenadze,ნამჩევაძე,namchevadze
Бахуридзе,bakhuridze,ბახტურიძე,bakhturidze
Голенидзе,golenidze,გელენიძე,gelenidze
Циклаурин,tsiklaurin,წიკლაური,tsiklauri
Баловадзе,balovadze,ბალავაძე,balavadze
Парцогиян,partsogiian,პარსეგიან,parsegian
Полковникова,polkovnikova,პოლკოვნიკოვა,polkovnikova
Кокулия,kokuliia,კაკულია,kakulia
Демуришвили,demurishvili,დემურიშვილი,demurishvili
Венджанашвили,vendzhanashvili,ბეჟანაშვილი,bezhanashvili
Фаилодзе,failodze,ფაილოძე,pailodze
Рахматов,rakhmatov,რახმანოვი,rakhmanovi
Чигнадзе,chignadze,ჩუგნაძე,chugnadze
Кобеляшвили,kobeliashvili,კობლიაშვილი,kobliashvili
Бойнагров,boinagrov,ბოინაგროვა,boinagrova
Мигреаули,migreauli,მიგრიაული,migriauli
Дурнян,durnian,დუმანიან,dumanian
Кангавелли,kangavelli,კანზაველი,kanzaveli
Щепков,schepkov,ჩეპკოი,chepkoi
Павловский,pavlovskii,პავლოვსკი,pavlovski
Ельбакидзе,el'bakidze,ელბაქიძე,elbaqidze
Карнилов,karnilov,კარნილოვა,karnilova
Мачайдзе,machaidze,მაჩაიძე,machaidze
Худолей,khudolei,ხუდალეი,khudalei
Чичилашвили,chichilashvili,ჩიჩიკაშვილი,chichikashvili
Миковадзе,mikovadze,კიკვაძე,kikvadze
Сибисквирадзе,sibiskviradze,სებისკვერაძე,sebiskveradze
Мартеросян,marterosian,მარტიროსიან,martirosian
Басылай,basilai,ბასილაია,basilaia
Коинишвили,koinishvili,როინიშვილი,roinishvili
Кортуашвили,kortuashvili,კონტუაშვილი,kontuashvili
Курца,kurtsa,კურც,kurts
Исабали,isabali,ისაიანი,isaiani
Сураилов,surailov,სურაილოვ,surailov
Боргашвили,borgashvili,ბორაშვილი,borashvili
Гурацели,guratseli,გარაცევი,garatsevi
Багиаев,bagiaev,ბატიაევ,batiaev
Турманов,turmanov,თურმანოვი,turmanovi
Мухамедов,mukhamedov,მუხამედოვ,mukhamedov
Бирикашвили,birikashvili,ბერიკაშვილი,berikashvili
Лоря,loria,ლორია,loria
Ибат,ibat,იდათ,idat
Хацушвили,khatsushvili,ხუციშვილი,khutsishvili
Хабларьян,khablar'ian,ხუბლარიან,khublarian
Чиркадзе,chirkadze,ჩირკაძე,chirkadze
Ахлодьян,akhlod'ian,ახოიან,akhoian
Итуридзе,ituridze,ითურიძე,ituridze
Окорашвили,okorashvili,კორაშვილი,korashvili
Крджоян,krdzhoian,კრდჟოიან,krdzhoian
Тиланян,tilanian,დილანიან,dilanian
Джарнашвили,dzharnashvili,ძმანაშვილი,dzmanashvili
Нодий,nodii,ნოდია,nodia
Абоашвили,aboashvili,აბუაშვილი,abuashvili
Водочкорьян,vodochkor'ian,ვადაჩკორია,vadachkoria
Голуя,goluia,გოგია,gogia
Гамрекелишвили,gamrekelishvili,გამრეკელაშვილი,gamrekelashvili
Чевахашвили,chevakhashvili,ჩომახაშვილი,chomakhashvili
Новоторов,novotorov,ნოვოსარდოვ,novosardov
Грушковский,grushkovskii,ტრუსკოვსკი,truskovski
Шаринян,sharinian,შირინიან,shirinian
Горджиев,gordzhiev,გადჟიევ,gadzhiev
Бакшвили,bakshvili,ბაკაშვილი,bakashvili
Кумыбашвили,kumibashvili,კუტიბაშვილი,kutibashvili
Учираули,uchirauli,იჭირაული,itchirauli
Карганошвили,karganoshvili,არგანაშვილი,arganashvili
Щипачев,schipachev,ჩივჩევ,chivchev
Абдулсалимов,abdulsalimov,აბდულაზიმოვი,abdulazimovi
Мирютадзе,miriutadze,მიქაუტაძე,miqautadze
Бахмач,bakhmach,ბახია,bakhia
Маисаия,maisaiia,მაისაია,maisaia
Сайталадзе,saitaladze,სანთელაძე,santeladze
Шадберашвили,shadberashvili,შატბერაშვილი,shatberashvili
Смищенко,smischenko,მიშჩენკო,mishchenko
Акапашвили,akapashvili,აკოფაშვილი,akopashvili
Замунашвили,zamunashvili,სამუნაშვილი,samunashvili
Лухумаидзе,lukhumaidze,ლუხუმაიძე,lukhumaidze
Кудзишвили,kudzishvili,ბუძიშვილი,budzishvili
Нардия,nardiia,ნარდაია,nardaia
Квиралашвили,kviralashvili,ყვირალაშვილი,khviralashvili
Бронников,bronnikov,ბრონიკოვა,bronikova
Милерава,milerava,მილორავა,milorava
Синько,sin'ko,სინკო,sinko
Милконьяк,milkon'iak,მელკონიან,melkonian
Сбитнев,sbitnev,სბიტნევ,sbitnev
Меробашвили,merobashvili,მერებაშვილი,merebashvili
Котадзе,kotadze,კოტაძე,kotadze
Бардуашвили,barduashvili,ბადუაშვილი,baduashvili
Давидчук,davidchuk,სავჩუკ,savchuk
Хохубия,khokhubiia,ხახუბია,khakhubia
Галикадзе,galikadze,ტალიკაძე,talikadze
Чиноваки,chinovaki,ჩიქოვანი,chiqovani
Циобеладзе,tsiobeladze,ცნობილაძე,tsnobiladze
Пугаев,pugaev,მუსაევ,musaev
Агноян,agnoian,აგჯოიან,agjoian
Шуоладзе,shuoladze,შუბლაძე,shubladze
Кейниг,keinig,კენიგ,kenig
Матынов,matinov,მატინოვი,matinovi
Шахмурадян,shakhmuradian,შახმურადიანი,shakhmuradiani
Хосикуридзе,khosikuridze,ხოსიკურიძე,khosikuridze
Еляров,eliarov,ელიაროვი,eliarovi
Кокалишвили,kokalishvili,კიკალიშვილი,kikalishvili
Шпак,shpak,შპაკ,shpak
Табашадзе,tabashadze,ტაბეშაძე,tabeshadze
Микасян,mikasian,მინასიან,minasian
Каракетов,karaketov,კარაკეტოვა,karaketova
Марлоперидзе,marloperidze,მაღლაფერიძე,maghlaperidze
Корнители,korniteli,კორინთელი,korinteli
Герасимчук,gerasimchuk,გერასიმჩუკი,gerasimchuki
Закараев,zakaraev,კარაევ,karaev
Гелегуташвили,gelegutashvili,გელუტაშვილი,gelutashvili
Звездин,zvezdin,ვეზდენი,vezdeni
Закараия,zakaraiia,ზაქარაია,zaqaraia
Батлук,batluk,ბალუ,balu
