rus,en,matched,matchedEngName
Купотатзе,kupotatze,კუპატაძე,kupatadze
Чущенко,chuschenko,ჩუტჩენკო,chutchenko
Копакады,kopakadi,კოფიადი,kopiadi
Мачевариане,machevariane,მაჭავარიანი,matchavariani
Шлиндришвили,shlindrishvili,ჩილინდრიშვილი,chilindrishvili
Соченков,sochenkov,სოჩენკოვა,sochenkova
Агреба,agreba,აგრბა,agrba
Бояков,boiakov,ბოიკოვ,boikov
Дербисели,derbiseli,დარბაისელი,darbaiseli
Курбонов,kurbonov,კურბანოვ,kurbanov
Одишарин,odisharin,ოდიშარია,odisharia
Бугалашвили,bugalashvili,ბეგალაშვილი,begalashvili
Стенин,stenin,სტენინა,stenina
Пашкуридзе,pashkuridze,ფაშკურიძე,pashkuridze
Пхалидзе,pkhalidze,ფხალაძე,pkhaladze
Пугиашвили,pugiashvili,ფუღიაშვილი,pughiashvili
Маркозишвили,markozishvili,მარკოზიშვილი,markozishvili
Пуидзе,puidze,ფრუიძე,pruidze
Хамрашвили,khamrashvili,ყარაშვილი,kharashvili
Гойдошвили,goidoshvili,ბაიდოშვილი,baidoshvili
Колояни,koloiani,კოლოიანი,koloiani
Молоцеидзе,molotseidze,მალაციძე,malatsidze
Карчала,karchala,ქარჩავა,qarchava
Бугаец,bugaets,ბუგაეც,bugaets
Пурцилава,purtsilava,ხურცილავა,khurtsilava
Семашвили,semashvili,სემაშვილი,semashvili
Аршинов,arshinov,არშინოვი,arshinovi
Датвидзе,datvidze,თათვიძე,tatvidze
Татрашвилли,tatrashvilli,თათარაშვილი,tatarashvili
Гвезава,gvezava,გვაზავა,gvazava
Шайтенешвили,shaiteneshvili,შეითნიშვილი,sheitnishvili
Палищук,palischuk,ფილიპჩუკ,pilipchuk
Эксеулидзе,ekseulidze,ექსეულიძე,eqseulidze
Дотукашвили,dotukashvili,დათუკაშვილი,datukashvili
Пычко,pichko,რიჩკო,richko
Гвишнени,gvishneni,გვიშიანი,gvishiani
Шатошвилли,shatoshvilli,შაოშვილი,shaoshvili
Зарджошвили,zardzhoshvili,ზარდიაშვილი,zardiashvili
Кализардашвилли,kalizardashvilli,გამეზარდაშვილი,gamezardashvili
Марон,maron,მარონ,maron
Шамов,shamov,შამოევ,shamoev
Зинчинков,zinchinkov,ზინჩენკო,zinchenko
Джабношвили,dzhabnoshvili,ძმანაშვილი,dzmanashvili
Давития,davitiia,დავითაია,davitaia
