rus,en,matched,matchedEngName
Ртвиладзе,rtviladze,რთველაძე,rtveladze
Вороненко,voronenko,მირონენკო,mironenko
Росташвиль,rostashvil',როსტაშვილი,rostashvili
Партовнян,partovnian,პარონიან,paronian
Мотовилин,motovilin,მოგილინ,mogilin
Карамяк,karamiak,კარამიან,karamian
Джария,dzhariia,ძარია,dzaria
Сиряков,siriakov,კირიაკოვ,kiriakov
Карамонашвили,karamonashvili,ბარამაშვილი,baramashvili
Эгердашвили,egerdashvili,ელერდაშვილი,elerdashvili
Гогрочшани,gogrochshani,გოგროჭიანი,gogrotchiani
Сандзаглишвили,sandzaglishvili,საძაგლიშვილი,sadzaglishvili
Бодриашвили,bodriashvili,ბადრიაშვილი,badriashvili
Гркиянян,grkiianian,გრკიკიან,grkikian
Пигида,pigida,ფიფია,pipia
Рябушенко,riabushenko,რიაბუშენკო,riabushenko
Раскопов,raskopov,აკოფოვ,akopov
Мордебадзе,mordebadze,მოდებაძე,modebadze
Паташура,patashura,პატაშური,patashuri
Етумян,etumian,ეტუმიან,etumian
Черкоксов,cherkoksov,ჩერკესოვ,cherkesov
Байдошвилли,baidoshvilli,ბაიდოშვილი,baidoshvili
Готияшвили,gotiiashvili,გოტიაშვილი,gotiashvili
Перцхеля,pertskhelia,ფერცხელია,pertskhelia
Мантенашвили,mantenashvili,მანდენაშვილი,mandenashvili
Гомезаруашвили,gomezaruashvili,გამეზარდაშვილი,gamezardashvili
Тутурлин,tuturlin,ბუტურლინა,buturlina
Сагенадзе,sagenadze,საგინაძე,saginadze
Милициан,militsian,ირიციან,iritsian
Ашсультан,ashsul'tan,შულმან,shulman
Оганезев,oganezev,ოგანეზოვ,oganezov
Нахтшвили,nakhtshvili,მაყიშვილი,makhishvili
Курдане,kurdane,კურდაძე,kurdadze
Кочебаев,kochebaev,კოჩუბეევ,kochubeev
Илимбаев,ilimbaev,ილიაევი,iliaevi
Подарящий,podariaschii,ფადარაშვილი,padarashvili
Сидомонишвили,sidomonishvili,სიდამონიშვილი,sidamonishvili
Арзутанян,arzutanian,არზუმანიან,arzumanian
Малыгина,maligina,მალიგინა,maligina
Мамелошвили,mameloshvili,მამულაშვილი,mamulashvili
Паматадзе,pamatadze,სამატაძე,samatadze
Амигба,amigba,აგირბა,agirba
Тайямидзе,taiiamidze,მარიამიძე,mariamidze
Сиворин,sivorin,სიდორინა,sidorina
Комтонедзе,komtonedze,კობზონაძე,kobzonadze
Гаподзе,gapodze,გაბოძე,gabodze
Куцнеашвили,kutsneashvili,ქუცნიაშვილი,qutsniashvili
Струнов,strunov,სტრუგოვ,strugov
Тоердава,toerdava,თოლორდავა,tolordava
Хосмазарашвили,khosmazarashvili,ხოსმაზარაშვილი,khosmazarashvili
Митагвория,mitagvoriia,მითაგვარია,mitagvaria
Есин,esin,ფესინ,pesin
Арачемья,arachem'ia,არაჩემია,arachemia
Замирский,zamirskii,კამინსკი,kaminski
Мониява,moniiava,მონიავა,moniava
Васимович,vasimovich,მაქსიმოვიჩ,maqsimovich
Альварьян,al'var'ian,ალვარიან,alvarian
Цварешвили,tsvareshvili,წვეროშვილი,tsveroshvili
Дебидзе,debidze,დევიძე,devidze
Пасуришвили,pasurishvili,ფასურიშვილი,pasurishvili
Гелуташбили,gelutashbili,გელუტაშვილი,gelutashvili
Шехабадзе,shekhabadze,შეყილაძე,shekhiladze
Коротыч,korotich,კოროტკიხ,korotkikh
Конишьян,konish'ian,კიშოიან,kishoian
Дзюндзя,dziundzia,ხუნძია,khundzia
Чифчян,chifchian,ჩივჩიან,chivchian
Тумансьянс,tumans'ians,ტუმასიანი,tumasiani
Гилиев,giliev,გულიევ,guliev
Чуботошвили,chubotoshvili,ჩოკოშვილი,chokoshvili
Командян,komandian,კონდიან,kondian
Молаев,molaev,მოლაევ,molaev
Шельхальян,shel'khal'ian,ჩახალიან,chakhalian
Рискин,riskin,რივკინ,rivkin
Лененешвиль,leneneshvil',მეგენეიშვილი,megeneishvili
Масимов,masimov,მასიმოვ,masimov
Макарублидзе,makarublidze,მახარობლიძე,makharoblidze
Шомагов,shomagov,შონაროვ,shonarov
Кинчикидзе,kinchikidze,ყინჩიყიძე,khinchikhidze
Атораян,atoraian,ატოიან,atoian
Гулардави,gulardavi,გულორდავა,gulordava
Церусвадзе,tserusvadze,ცერცვაძე,tsertsvadze
Шангерадзе,shangeradze,შვანგირაძე,shvangiradze
Бейнашвилли,beinashvilli,ბეინაშვილი,beinashvili
Макарышвили,makarishvili,მაკარიშვილი,makarishvili
Джимисашвили,dzhimisashvili,ძებისაშვილი,dzebisashvili
Сомчин,somchin,სიაჩინ,siachin
Горгияни,gorgiiani,გორგიანი,gorgiani
Папузян,papuzian,პაპაზიან,papazian
Болотских,bolotskikh,ბოროვსკიხ,borovskikh
Мидрадзе,midradze,მიქაძე,miqadze
Гемокулидзе,gemokulidze,ქემოკლიძე,qemoklidze
Напиев,napiev,ნაბიევ,nabiev
