rus,en,matched,matchedEngName
Капанадзе,kapanadze,კაპანაძე,kapanadze
[отсутствует],[otsutstvuet],ქოცუაშვილი,qotsuashvili
Ломидзе,lomidze,ლომიძე,lomidze
Майсурадзе,maisuradze,მაისურაძე,maisuradze
Гоголадзе,gogoladze,გოგოლაძე,gogoladze
Мамедов,mamedov,მამედოვ,mamedov
Алиев,aliev,ალიევ,aliev
Беридзе,beridze,ბერიძე,beridze
Циклаури,tsiklauri,წიკლაური,tsiklauri
Табатадзе,tabatadze,ტაბატაძე,tabatadze
[неразборчиво],[nerazborchivo],რაზვოჩიკოვა,razvochikova
Нозадзе,nozadze,ნოზაძე,nozadze
Георгадзе,georgadze,გეორგაძე,georgadze
Шенгелия,shengeliia,შენგელია,shengelia
Мчедлишвили,mchedlishvili,მჭედლიშვილი,mtchedlishvili
Кобахидзе,kobakhidze,კობახიძე,kobakhidze
Хуцишвили,khutsishvili,ხუციშვილი,khutsishvili
Чхаидзе,chkhaidze,ჩხაიძე,chkhaidze
Метревели,metreveli,მეტრეველი,metreveli
Церцвадзе,tsertsvadze,ცერცვაძე,tsertsvadze
Сванидзе,svanidze,სვანიძე,svanidze
Челидзе,chelidze,ჭელიძე,tchelidze
Абуладзе,abuladze,აბულაძე,abuladze
Самхарадзе,samkharadze,სამხარაძე,samkharadze
Кварацхелия,kvaratskheliia,კვარაცხელია,kvaratskhelia
Куртанидзе,kurtanidze,კურტანიძე,kurtanidze
Хурцидзе,khurtsidze,ხურციძე,khurtsidze
Барбакадзе,barbakadze,ბარბაქაძე,barbaqadze
Мачарашвили,macharashvili,მაჭარაშვილი,matcharashvili
Размадзе,razmadze,რაზმაძე,razmadze
Тодуа,todua,თოდუა,todua
Долидзе,dolidze,დოლიძე,dolidze
Петросян,petrosian,პეტროსიან,petrosian
Габуния,gabuniia,გაბუნია,gabunia
Чубинидзе,chubinidze,ჩუბინიძე,chubinidze
Курашвили,kurashvili,ყურაშვილი,khurashvili
Хачидзе,khachidze,ხაჩიძე,khachidze
Арутюнов,arutiunov,არუთიუნოვ,arutiunov
Акопян,akopian,აკოფიან,akopian
Чихладзе,chikhladze,ჩიხლაძე,chikhladze
Джикия,dzhikiia,ძიგირია,dzigiria
Микадзе,mikadze,მიქაძე,miqadze
Джапаридзе,dzhaparidze,ჯაფარიძე,japaridze
Двалишвили,dvalishvili,დვალიშვილი,dvalishvili
[неизвестно],[neizvestno],ნეიზვესტნაია,neizvestnaia
Модебадзе,modebadze,მოდებაძე,modebadze
Валиев,valiev,ვალიევ,valiev
Джиоев,dzhioev,ძაგოევი,dzagoevi
Рухадзе,rukhadze,რუხაძე,rukhadze
Григорян,grigorian,გრიგორიან,grigorian
Мумладзе,mumladze,მუმლაძე,mumladze
Лобжанидзе,lobzhanidze,ლობჟანიძე,lobzhanidze
Махарадзе,makharadze,მახარაძე,makharadze
Шубитидзе,shubitidze,შუბითიძე,shubitidze
Кикнадзе,kiknadze,კიკნაძე,kiknadze
Джанелидзе,dzhanelidze,დანელიძე,danelidze
Кавтарадзе,kavtaradze,ქავთარაძე,qavtaradze
Брегвадзе,bregvadze,ბრეგვაძე,bregvadze
Саркисян,sarkisian,სარკისიან,sarkisian
Шония,shoniia,შონია,shonia
Берадзе,beradze,ბერაძე,beradze
Чантурия,chanturiia,ჭანტურია,tchanturia
Акопов,akopov,აკოფოვ,akopov
Ломтадзе,lomtadze,ლომთაძე,lomtadze
Меладзе,meladze,მელაძე,meladze
Робакидзе,robakidze,რობაქიძე,robaqidze
Данелия,daneliia,დანელია,danelia
Арутюнян,arutiunian,არუთიუნიან,arutiunian
Двали,dvali,დვალი,dvali
Тедеев,tedeev,თედეევი,tedeevi
