rus,en,matched
Святослав,Svyatoslav,სვიატოსლავ
Мура,Mura,მურად
Грикул,Grikul,გრიგოლ
Цита,Cita,რიტა
Цикори,Cikori,იგორი
Акап,Akap,აკოპ
Тухия,Tuhiya,თაჰირა
Элекре,Elekre,ერეკლე
Ноно,Nono,ნანო
Астатур,Astatur,ასატურ
Амбаруум,Ambaruum,ამბარცუმ
Влад,Vlad,ვლადა
Евиль,Evil,სევილ
Кобо,Kobo,კობა
Асад-оглы,Asad-ogli,ანატოლი
Хусин,Husin,ჰუსეინ
Вартуш,Vartush,ვართუშ
Хача,Hacha,ბაჩა
Харламп,Harlamp,ხარლამპ
Горник,Gornik,გარნიკ
Дикрам,Dikram,იკრამ
Даратя,Daratya,პაატა
Партех,Parteh,პართენ
Тируза,Tiruza,ფირუზა
Наим,Naim,ნაზიმ
Миграли,Migrali,მირალი
Яшвидан,YAshvidan,რაშიდა
Мотиль,Motil,მობილ
Бехо,Beho,ბენო
Асланбек,Aslanbek,ასლანბეგ
Ирбан,Irban,ირმა
Хунта,Hunta,ლუნა
Сендри,Sendri,გენდრი
Нурп,Nurp,ნური
Тимко,Timko,თიკო
Амрадзе,Amradze,არაზ
Кочалы,Kochali,კოჩა
Пирахмед,Pirahmed,პირმამედ
Пилате,Pilate,ფილიპე
Шандал,SHandal,შანდა
Мирах,Mirah,მირა
Шагры-оглы,SHagri-ogli,გრიგოლი
Раджеб,Radzheb,რაჟდენ
Мима,Mima,რიმა
Федоси,Fedosi,ფედოსი
Ермен,Ermen,არმენ
Зеко,Zeko,ზერო
Арзамат,Arzamat,აზამატ
Шаверды,SHaverdi,ალავერდი
Фанк,Fank,ნანი
Шамет,SHamet,შამათ
Авдодын,Avdodin,აიდინ
Барегам,Baregam,არგამ
Мехердиян,Meherdiyan,მეჰრიბან
Нектариоз,Nektarioz,ნექტარიოზ
Сафат,Safat,საიათ
Афрос,Afros,არონ
Нука,Nuka,ნუკა
Тарчу,Tarchu,დარჩო
Мигрим,Migrim,ქიარიმ
Раждо,Razhdo,რაჟდენ
Платоний,Platonii,პლატონი
Малий,Malii,მალიკ
Бидзипа,Bidzipa,ბიძინა
Казбег,Kazbeg,ყაზბეგ
Авросим,Avrosim,ამროსი
Шамико,SHamiko,შალიკო
Алисутан,Alisutan,ალისულთან
Мусафа,Musafa,მუსალა
Килюте,Kilyute,კიმოთე
Садур,Sadur,ბადურ
Галакт,Galakt,გალუსტ
Варастат,Varastat,ვარაზდატ
Валит,Valit,ვალია
Карапа,Karapa,არაპა
Эльгуджа,Elgudzha,ელგუჯა
Вант.,Vant.,ვანო
Команда,Komanda,კამანდარ
Аслан оглы,Aslan ogli,ასლანი
Исило,Isilo,ილო
Гаврила,Gavrila,გავრილ
Яковий,YAkovii,იაკობი
Вариаш,Variash,არტაშ
Эст.,Est.,ესმა
Алхаз,Alhaz,ალმაზ
Юза,YUza,იუზა
Лусиян,Lusiyan,ლუსია
Махитар,Mahitar,მხითარ
Кучун,Kuchun,ხუჩუნა
Аквентий,Akventii,აქვსენტი
Кадым-оглы,Kadim-ogli,რადიონი
Вагим,Vagim,ვაგიფ
Ножа,Nozha,ნიჟა
Сами,Sami,სამირ
Коджа,Kodzha,კოჩა
Милидон,Milidon,მილიონ
Адамир,Adamir,ადამი
Микат,Mikat,მაკა
Патух,Patuh,ფატი
Вахтер,Vahter,ვალტერ
Абасс,Abass,აბას
Бонали,Bonali,ბინალი
Майл,Mail,მაილ
Абессолом,Abessolom,აბესალომ
Кациа,Kacia,კატია
Терен,Teren,თერეზ
Автандия,Avtandiya,ავთანდილ
Сосу,Sosu,სოსო
Рам,Ram,რამ
Карась,Karas,კარა
Сачак,Sachak,საჰაკ
Биняли,Binyali,ბინალი
Аиказ,Aikaz,აიკაზ
Акаяй,Akayai,აკაკი
Гедо,Gedo,გენო
Калинике,Kalinike,კალენიკე
Конто,Konto,ლონთო
Бартлом,Bartlom,ბართლომე
Ивас,Ivas,ივან
Геворт,Gevort,გევორქ
Кицица,Kicica,კიმია
Ромал,Romal,რომალ
Малед,Maled,მამედ
Иардан,Iardan,ვარდან
Валеряне,Valeryane,ვალერიანე
Напальон,Napalon,აპალონ
Карапий,Karapii,კარაპეტ
Жандер,ZHander,ჟინვერ
Амира,Amira,ამირა
Мерсаб,Mersab,მერაბ
Саша (Александр),Sasha (Aleksandr),ალეკსანდრ
Матикон,Matikon,მათიკო
Шахмардан,SHahmardan,შახმარდან
Димитра,Dimitra,დიმიტრი
Тагер,Tager,ტაგირ
Шамба,SHamba,შამბათ
Севи,Sevi,სევილ
Камза,Kamza,გამზა
Мартианс,Martians,მარტინ
Ониспор,Onispor,ონისე
Рамана,Ramana,რამანა
Фарман-оглы,Farman-ogli,მანოლი
Ошак,Oshak,ოსმან
Сардан,Sardan,ვარდან
Баго,Bago,იაგო
Вакия,Vakiya,ვალიდა
Вагтан,Vagtan,ვართან
Резос,Rezos,რეზო
Освальд,Osvald,ციალა
Вели оглы,Veli ogli,ველოდი
Джабу,Dzhabu,ძაბა
Серей,Serei,სერგეი
Хамил,Hamil,რამილ
Алиар,Aliar,ალიარ
Меджеп,Medzhep,მედინე
Михаис,Mihais,მინაია
Титко,Titko,ტიტიკო
Идоят,Idoyat,იდაიათ
Ируза,Iruza,ირუზა
Ражам,Razham,რაჟამი
Ташали,Tashali,მაშადი
Седо,Sedo,სედა
Ирогим,Irogim,იბრაგიმ
Гелваси,Gelvasi,გელვასი
Нония,Noniya,ნონია
Василия,Vasiliya,ვასილისა
Саноро,Sanoro,სანდრო
Пеник,Penik,ფენიკ
Рушти,Rushti,მუშნი
Иван (Вано),Ivan (Vano),ანანო
Уторш,Utorsh,ტოროს
Арсени,Arseni,არსენი
Парлен,Parlen,მარლენ
Алексис,Aleksis,ალექსი
Никалаз,Nikalaz,ნიკალა
Алику,Aliku,ალიკა
Сукияс,Sukiyas,სუკიას
Вареди,Varedi,ვარდი
Арсил,Arsil,ასილ
Невзет,Nevzet,ნევზეთ
Бучка,Buchka,უჩა
Шаликум,SHalikum,შალიკო
Онин,Onin,ონიკ
Давлост,Davlost,დალოსტი
Нурмамед-оглы,Nurmamed-ogli,ნურმამედ
Какула,Kakula,კაკალა
Воли,Voli,ვალი
Ваштам,Vashtam,გაშამ
Санд,Sand,საიდ
Торкум,Torkum,თორგომ
Османов,Osmanov,ოსმან
Беро,Bero,ბერო
Джуншер,Dzhunsher,ჯუანშერ
Елез,Elez,ელენ
Иродо,Irodo,იროდი
Гурай,Gurai,გურამ
Элисе,Elise,ელისე
Иппо,Ippo,იაგო
Марман,Marman,მურმან
Забир,Zabir,საბირ
Махамат,Mahamat,მაჰაბათ
Бахтанши,Bahtanshi,ტატაში
Акой,Akoi,აკოპ
Насит,Nasit,ნასიბ
Баграл,Bagral,ბაგრატ
Багрот,Bagrot,ბაგრატ
Има,Ima,იმა
Ардовос,Ardovos,არდევან
Севостян,Sevostyan,ნესტან
Кога,Koga,კობა
Гезеван,Gezevan,გედევან
Бегруси,Begrusi,ბარუსი
Нурали,Nurali,ნურალი
Батламе,Batlame,ბათლომე
Ганс,Gans,განა
Гучу,Guchu,გუჩა
Анд.,And.,ანდრო
Агыния,Aginiya,აგნისა
Мамин,Mamin,რამინ
Махат,Mahat,მარატ
Аля,Alya,ალა
Хили,Hili,ვილი
Месия,Mesiya,მელიტა
Аскир,Askir,ასკარ
Окруа,Okrua,ოქრუა
Мейралы,Meirali,მირალი
Силиверст,Siliverst,სილვარტ
Вотар,Votar,ოთარ
Никентий,Nikentii,ბიკენტი
Неман,Neman,ნემათ
Илияз,Iliyaz,ილიაზ
Кирила,Kirila,კირილე
Месраб,Mesrab,მერაბ
Агани,Agani,აგალი
Арменяк,Armenyak,არმენაკ
Серопион,Seropion,სერაპიონ
Карчи,Karchi,არჩილ
Карне,Karne,კარინე
Давитка,Davitka,დავით
Тараскан,Taraskan,ტრისტან
Хариба,Hariba,გარიბა
Арутык,Arutik,არუთიკ
Гидзина,Gidzina,ბიძინა
Карто,Karto,კარლო
Ибрам,Ibram,აბრამ
Томентий,Tomentii,დომენტი
Унес,Unes,ინესა
Алагбар-оглы,Alagbar-ogli,ასაბალი
Амоерки,Amoerki,ამბერკი
Гуля,Gulya,გულა
Микуш,Mikush,მიტუშ
Софья,Sofya,სონია
Антан,Antan,ანტონ
Сазим,Sazim,ნაზიმ
Иоанн,Ioann,იოანე
Суюн,Suyun,სუპუნ
Ридван-оглы,Ridvan-ogli,რიზვანი
Месса,Messa,ესმა
Ионил,Ionil,ჯონი
Зала,Zala,ზაზა
Садро,Sadro,სანდრო
Татум,Tatum,ტატულ
Шильва,SHilva,შალვა
Арчи[...],Archi[...],არჩილ
Лудвик,Ludvik,ლუდვიკ
Алист,Alist,ალისა
Педу,Pedu,სედა
Сетен,Seten,სურენ
Абим,Abim,ალიმ
Алфи,Alfi,ალი
Ушах,Ushah,უშა
Али-Султан,Ali-Sultan,ალისულთან
Эремия,Eremiya,ერემია
Алиста,Alista,ალისა
Дотыкун,Dotikun,დათიკო
Мотвей,Motvei,მატვეი
Сулейм,Suleim,სულეიმან
Циквали,Cikvali,ვიტალი
Кимрал,Kimral,იმრან
Маме,Mame,მამე
Прмен,Prmen,არმენ
Зебо,Zebo,ზერო
Нуфар,Nufar,ნუბარ
Бахрад,Bahrad,ბაჰრამ
Осик,Osik,ოვიკ
Исидорс,Isidors,ისიდორე
Ариф.,Arif.,არიფ
Иой,Ioi,იობი
Бертон,Berton,ვერონ
Бедзино,Bedzino,ბიძინა
Тидо,Tido,თედო
Носкид,Noskid,ოსკინ
Джемфер,Dzhemfer,დემურ
Биктори,Biktori,ბიქტორი
Хотисо,Hotiso,ხვთისო
Никандрий,Nikandrii,ნიკანდრო
Арефий,Arefii,არევიკ
Желяли,ZHelyali,ზეინალი
Геди,Gedi,გედი
Домед,Domed,მამედ
Арпак,Arpak,არტაკ
Маркет,Market,მარიეტა
Тутас,Tutas,ტუმას
Шашин,SHashin,შახინ
Амбрось,Ambros,ამბროს
Ной (Вано),Noi (Vano),ივანე
Ивмян,Ivmyan,იმრან
Талит,Talit,თალითა
Иосан,Iosan,ოსან
Камий,Kamii,კამილ
Дашо,Dasho,მაშო
Сарго,Sargo,სერგო
Есай,Esai,ესაი
Власико,Vlasiko,ვასიკო
Аквсей,Akvsei,აკაკი
Аллаверды,Allaverdi,ალავერდი
Амброс.,Ambros.,ამბროსი
Якут,YAkut,ბაკურ
Шельва,SHelva,შალვა
Поря,Porya,ფორია
Кужа,Kuzha,კუზმა
Сулим,Sulim,სელიმ
Эфим,Efim,ეფიმ
Ротден,Rotden,ორდენ
Мелотон,Meloton,მელიტონ
Джугули,Dzhuguli,ჟიგული
Золотинска,Zolotinska,ოლინკა
Арони,Aroni,არონი
Аквентин,Akventin,ვალენტინ
Чешко,CHeshko,შაშიკო
Мартирас,Martiras,მარტიროს
Милорси,Milorsi,მილორდი
Карпа,Karpa,მარფა
Амбет,Ambet,ამლეტ
Михкель,Mihkel,მიქაელ
Мото,Moto,ჯოტო
Хатчик,Hatchik,ხაჩიკ
Ивради,Ivradi,ივრადი
Логвин,Logvin,ლოგმან
Пайрам,Pairam,ბაირამ
Макса,Maksa,მაკა
Тадеус,Tadeus,თადეოზ
Пагрид,Pagrid,ფარიდ
Беридзе,Beridze,ფერიდე
Гайдар,Gaidar,გაიდარ
Нуфиль,Nufil,ნური
Полианте,Poliante,ოლიფანტე
Абдрахман,Abdrahman,აბდურახმან
Есим,Esim,ასიმ
Саридион,Saridion,სარდიონ
Габриель,Gabriel,გაბრიელ
Эрвас,Ervas,გერვას
Шахар,SHahar,შაქარ
Темофей,Temofei,ტიმოფეი
Ванечка,Vanechka,ვანიჩკა
Авер,Aver,აზერ
Солько,Solko,სოლიკო
Амираслан,Amiraslan,ამირასლან
Семинер,Seminer,სემინარ
Захаря,Zaharya,ზაქარია
Димитро,Dimitro,დიმიტრი
Бахрат,Bahrat,ბაგრატ
Имеда,Imeda,იმედა
Селин,Selin,სელიმ
Чигин,CHigin,ჩინგიზ
Чугуна,CHuguna,ღუღუნა
Каш,Kash,ლაშა
Арам.,Aram.,არამ
Аршон,Arshon,არსენ
Нияз-оглы,Niyaz-ogli,ნიაზალი
Гина,Gina,გინა
Сабри,Sabri,საბრი
Каленник,Kalennik,კალენიკე
Ардашил,Ardashil,არდაშელ
Сома,Soma,სონა
Бактер,Bakter,ბაკურ
Эвтихей,Evtihei,ევტიხი
Ган,Gan,იან
Гелим,Gelim,სელიმ
Сиверьян,Siveryan,სევერიან
Мерон,Meron,ვერონ
Левард,Levard,ლევან
Мала,Mala,მაკა
Алебако,Alebako,ალეკო
Синафор,Sinafor,სინაზარ
Ибрагим Халил,Ibragim Halil,იბრაგიმხალილ
Шава,SHava,შალვა
Халист,Halist,ალისა
Парно,Parno,არნო
Тиофан,Tiofan,ტიგრან
Тарил,Taril,ტარიელ
Феваз,Fevaz,რევაზ
Серги,Sergi,სერგი
Тула,Tula,გულა
Дзина,Dzina,ზინა
Алексонд,Aleksond,ალეკსან
Жало,ZHalo,ჟალე
Малакая,Malakaya,მალაკატ
Арчаль,Archal,არჩილ
Дани,Dani,ნანი
Афрасин,Afrasin,აღასინ
Хито,Hito,დიტო
Елистрат,Elistrat,ელისტან
Куза,Kuza,იუზა
Имирзали,Imirzali,მირზალი
Жаман,ZHaman,ჩამან
Лорик,Lorik,ლორიკ
Байри,Bairi,ბადრი
Рассим,Rassim,რასიმ
Магзак,Magzak,მაგდა
Зотине,Zotine,ფოტინე
Джимшо,Dzhimsho,დუნიაშა
Санарто,Sanarto,სანდრო
Христасий,Hristasii,ტრისტანი
Соломинат,Solominat,სოლმინაზ
Деомиде,Deomide,დიომიდე
Дидули,Diduli,დადული
Аблялим,Ablyalim,აბესალომ
Куцула,Kucula,გუგულა
Арсель,Arsel,არსენ
Декран,Dekran,დევრან
Левонти,Levonti,ლეონტი
Сомель,Somel,სამველ
Аршен,Arshen,არსენ
Аргул,Argul,ნარგულ
Енах,Enah,ეკა
Порпиле,Porpile,პორფილე
Ирадин,Iradin,ირადიონ
Амурсан,Amursan,ამირან
Хвтиса,Hvtisa,ხვთისო
Гусей,Gusei,გუსეინ
Акок,Akok,აკოპ
Астам,Astam,ასტან
Уджути,Udzhuti,ბუხუტი
Мая,Maya,მაკა
Мештан,Meshtan,ნესტან
Шейва,SHeiva,შეიდა
Шоварш,SHovarsh,შავარშ
Иоганс,Iogans,ოგანეს
Григом,Grigom,გრიგოლ
Андражик,Andrazhik,ანდრანიკ
Питирим,Pitirim,ფიქრიე
Юда,YUda,ლუდა
Романаз,Romanaz,რომანოზ
Мукаер,Mukaer,მაკარ
Ардюш,Ardyush,არტუშ
Могомед,Mogomed,მაგომედ
Смбат,Smbat,სმბატ
Шело,SHelo,სტელა
Шангазы,SHangazi,შანაი
Коропет,Koropet,კარაპეტ
Силибатер,Silibater,დილბარ
Пирос,Piros,პილოს
Иосе,Iose,იოსებ
Арлак,Arlak,არტაკ
Каврель,Kavrel,კარენ
Матья,Matya,მატა
Аполеон,Apoleon,აპოლონ
Шаев,SHaev,შაენ
Рождон,Rozhdon,რაჟდენ
Андрифир,Andrifir,ანდრანიკ
Опик,Opik,ოფიკ
Бахва,Bahva,ბახვა
Аджихалил-оглы,Adzhihalil-ogli,აჯიხალილ
Исмаили,Ismaili,ისმაილი
Пичко,Pichko,ფაჩო
Ловренти,Lovrenti,ლავრენტი
Естати,Estati,ესტატე
Аквасентий,Akvasentii,აქვსენტი
Весо,Veso,ვასო
Иоиль,Ioil,ილია
Абело,Abelo,აბელი
Каптан,Kaptan,კაითან
Амерза,Amerza,მირზა
Дания,Daniya,დანია
Бажан,Bazhan,ბეჟან
Сирокан,Sirokan,სირაკან
Ахок,Ahok,აშოტ
Ираден,Iraden,ირადე
Лудукий,Ludukii,ლუდუკი
Надим,Nadim,ნადიმ
Мерион,Merion,მირიან
Дарча,Darcha,დარჩო
Идаят,Idayat,იდაიათ
Шито,SHito,შიო
Пакро,Pakro,ზაქრო
Гейдар-оглы,Geidar-ogli,გეიდარალი
Кман,Kman,იმან
Арменика,Armenika,არფენიკა
Кеорк,Keork,გევორკ
Леан,Lean,ლევან
Вактал,Vaktal,ვართან
Люсьян,Lyusyan,ლუსან
Милик,Milik,მალიკ
Фарамуз,Faramuz,ფარამაზ
Мовсе,Movse,მოსე
Зейнулла,Zeinulla,ეინულა
Доша,Dosha,დუშა
Джгванат,Dzhgvanat,დაიანათ
Ихиф,Ihif,ილია
Джанит,Dzhanit,ჟანი
Арта,Arta,მართა
Сирен,Siren,სურენ
Март,Mart,მარი
Юсеб,YUseb,იოსებ
Шиут,SHiut,შიო
Метуша,Metusha,მიტუშა
Шаенко,SHaenko,შალიკო
Авиз,Aviz,აზიზ
Ваха,Vaha,ვაჟა
Гигуда,Giguda,გიგა
Жамбол,ZHambol,ჯამბულ
Гилико,Giliko,გულიკო
Али-Мамед-оглы,Ali-Mamed-ogli,მამედალი
Симбистран,Simbistran,ზიმისტან
Духу,Duhu,დურუ
Сайфутдин,Saifutdin,საიდინ
Ламбриан,Lambrian,ამირან
Амбросы,Ambrosi,ამბროსი
Купта,Kupta,ხუტა
Севостин,Sevostin,სევასტი
Меружен,Meruzhen,მერუჟან
Сайва,Saiva,საიდა
Максуд,Maksud,მაგსუდ
Гуви,Guvi,გივი
Катевана,Katevana,კატერინა
Арама,Arama,არამა
Аналин,Analin,ამალია
Мамед-Али,Mamed-Ali,მამედალი
Ашар,Ashar,იაშარ
Ивильян,Ivilyan,ივან
Джогонест,Dzhogonest,ოგანეს
Гервастий,Gervastii,გერვასი
Амиршай,Amirshai,ამირხან
Фарназ,Farnaz,ფარნაზ
Германы,Germani,გერმანი
Вахтани,Vahtani,ვართანი
Георгий (Гогия),Georgii (Gogiya),გეორგიოს
Мирион,Mirion,მირიან
Тадевоз,Tadevoz,თადეოზ
Валюта,Valyuta,ვალიუტა
Датыку,Datiku,დათიკო
Амрозий,Amrozii,ამროზი
Грима,Grima,რიმა
Себе,Sebe,სესე
Ферденант,Ferdenant,ფერდინანტ
Ермино,Ermino,ერმინე
Штофа,SHtofa,შოთა
Чинчор,CHinchor,ჩიჩაკ
Хаджиомар,Hadzhiomar,ადჟარ
Аико,Aiko,ნიკო
Тало,Talo,ტასო
Барнат,Barnat,ბარნაბ
Шки,SHki,შიო
Агасп,Agasp,აგასი
Сочино,Sochino,საჩინო
Исаля,Isalya,სალია
Гаин,Gain,გაიკ
Ерести,Eresti,ერასტი
Ирокли,Irokli,ირაკლი
Крамито,Kramito,გრამიტო
Насса,Nassa,ნასტა
Автанцил,Avtancil,ავთანდილ
Хуссин,Hussin,ჰუსეინ
Комид,Komid,კოლია
Кинтор,Kintor,ვიქტორ
Пара,Para,პარა
Матур,Matur,ზაურ
Куита,Kuita,კიტა
Тосты-оглы,Tosti-ogli,როსტომი
Трифол,Trifol,გრიგოლ
База,Baza,ზაზა
Спиридони,Spiridoni,სპირიდონი
Сулеиман-оглы,Suleiman-ogli,სულეიმანი
Шермазан,SHermazan,შერმადინ
Франк,Frank,რანა
Матия,Matiya,მათია
Машруп,Mashrup,აშრაფ
Лока-оглы,Loka-ogli,კაკოლი
Неро,Nero,ნერო
Тога,Toga,გოგა
Согоман,Sogoman,სოლომან
Герит,Gerit,გერიკ
Датия,Datiya,თათია
Георго,Georgo,გეორგი
Пеглар,Peglar,ბეგლარ
Иока,Ioka,იონა
Сергия,Sergiya,სერგი
Валих,Valih,ვალია
Садин,Sadin,სადი
Бесс,Bess,ბესო
Симпат,Simpat,სიმა
Цим,Cim,კიმ
Межит,Mezhit,რეშით
Насиф,Nasif,ნასიბ
Езук,Ezuk,ერიკ
Мелто,Melto,მელო
Карши,Karshi,კახი
Хаду,Hadu,ბადუ
Ремис,Remis,რამის
Аврос,Avros,ავრორა
Барнабо,Barnabo,ბარნაბა
Ашаб,Ashab,აშა
Аласкяр,Alaskyar,ალასკარ
Пиос,Pios,პილოს
Манацаган,Manacagan,მანუჩარ
Лобарь,Lobar,ლომარ
Датика,Datika,დათიკო
Бену,Benu,ბენო
Серакан,Serakan,სირაკან
Асаршак,Asarshak,არშაკ
Шамы,SHami,შამი
Лодико,Lodiko,ლადიკო
Артат,Artat,არტაკ
Аристакес,Aristakes,არისტაკეს
Лютвий,Lyutvii,ლუთვი
Виачеслав,Viacheslav,ვიაჩესლავ
Шерип,SHerip,შერიფ
Каграмон,Kagramon,ხურამან
Домимко,Domimko,ომიკო
Восилий (Василий),Vosilii (Vasilii),ვასილი
Антри,Antri,ანრი
Алерс,Alers,ალექს
Джахут,Dzhahut,დშხუნ
Даштан,Dashtan,დაშა
Хитир,Hitir,ხიდირ
Кигов,Kigov,იგორ
Реван,Revan,ლევან
Щота,SH'ota,შოთა
Настыр,Nastir,ნასტია
Иусуп,Iusup,იუსუპ
Багр,Bagr,ბაგირ
Гердан,Gerdan,გერმან
Колин,Kolin,კოლია
Дамьяне,Damyane,დამიანე
Циби,Cibi,გივი
Шальза,SHalza,შალვა
Аглимамед,Aglimamed,ალმამედ
Палад,Palad,პოლად
Арен,Aren,არენ
Мин.,Min.,მინა
Ордан,Ordan,ორდენ
Симое,Simoe,სიმონ
Ноим,Noim,ნოემ
Николози,Nikolozi,ნიკოლოზი
Дянов,Dyanov,დიანოზ
Дамьян,Damyan,დამიან
Синапол,Sinapol,ანატოლ
Камир,Kamir,სამირ
Атап,Atap,ასაფ
Курий,Kurii,იური
Кеазо,Keazo,კიაზო
Сапар,Sapar,საფარ
Шакор,SHakor,შაკირ
Отв.,Otv.,ოთარ
Хина,Hina,თინა
Пухут,Puhut,ფურუზ
Рашден,Rashden,რაჟდენ
Енукий,Enukii,ნუკრი
Героити,Geroiti,გერონტი
Гудис,Gudis,გული
Мача,Macha,ბაჩა
Оля,Olya,ოლია
Хутыч,Hutich,მკრტიჩ
Вахтангии,Vahtangii,ვახტანგი
Турсин,Tursin,დურსუნ
Арни,Arni,ანი
Шатура,SHatura,შურა
Маджик,Madzhik,ანჟიკ
Безина,Bezina,ზინა
Бешет,Beshet,რეშით
Муслим,Muslim,მუსლიმ
Иа,Ia,ლია
Шериф,SHerif,შერიფ
Эреван,Erevan,ლევან
Роста,Rosta,კოსტა
Дамян,Damyan,დამიან
Ил.,Il.,ილო
Себа,Seba,სედა
Новэ,Nove,ნოვე
Гарабед,Garabed,გარატელ
Растам,Rastam,რუსტამ
Хасмамед,Hasmamed,ხასმამედ
Шаид,SHaid,საიდ
Хаджгват,Hadzhgvat,სადაგატ
Иса оглы,Isa ogli,ისაბალი
Тгофиль,Tgofil,გოგი
Баладжа,Baladzha,ბარდღა
Тамат,Tamat,თამაზ
Валерия,Valeriya,ვალერია
Карнес,Karnes,კარინე
Сасон,Sason,იასონ
Сулийман оглы,Suliiman ogli,სულეიმანი
Имо,Imo,იზო
Владий,Vladii,ვლადიკ
Бежон,Bezhon,ბეჟან
Ахмет оглы,Ahmet ogli,ანატოლი
Кирагуз,Kiraguz,კირაზ
Дионаз,Dionaz,დიანა
Кунури,Kunuri,კუკური
Онофрий,Onofrii,ნორიკ
Абесала,Abesala,აბესალო
Бория,Boriya,ბორია
Владимери,Vladimeri,ვლადიმერი
Кагия,Kagiya,კარინა
Генша,Gensha,გენუშა
Азет,Azet,აზერ
Серапнон,Serapnon,სერაპიონ
Чето,CHeto,ქეთო
Степак,Stepak,სტეფან
Татарбек,Tatarbek,აგაბეკ
Автондал,Avtondal,ავთანდილ
Гениоз,Genioz,გენიოზ
Надо,Nado,ნადო
Севати,Sevati,სევასტი
Нодарий,Nodarii,ნოდარი
Арменаки,Armenaki,არმენაკი
Мелетон,Meleton,მელიტონ
Дзикали,Dzikali,ვიტალი
Маш,Mash,მაშო
Караким,Karakim,კარამ
Анаполит,Anapolit,ანატოლი
Мави,Mavi,მავი
Давла,Davla,დავით
Илар,Ilar,ილგარ
Лаврет,Lavret,ლავრენტ
Кузма,Kuzma,კუზმა
Галус,Galus,გალუსტ
Омельян,Omelyan,ემელიან
Валей,Valei,ვალეი
Бахша,Bahsha,ლაშა
Давруш,Davrush,გარუშ
Сират,Sirat,სირან
Карпед,Karped,კარპე
Карипет,Karipet,კარაპეტ
Батон,Baton,ბატო
Бакинт,Bakint,საკინა
Гиори,Giori,გიორგი
Асадула,Asadula,ასადულა
Пирузе,Piruze,ფირუზი
Ювелат,YUvelat,თაველა
Эдико,Ediko,ედიკო
Захарин,Zaharin,ზაქარია
Хачадур,Hachadur,ხაჩატურ
Кентар,Kentar,ეთარ
Ардат,Ardat,ტრდატ
Пиатон,Piaton,პლატონ
Эсса,Essa,ესმა
Пари,Pari,პარი
Келите,Kelite,აელიტა
Изагар,Izagar,ილგარ
Бенидикт,Benidikt,ბენიკ
Мамико,Mamiko,მამიკო
Тигрон,Tigron,ტიგრან
Каскид,Kaskid,რაშიდ
Камик,Kamik,ნამიკ
Аргир,Argir,არტურ
Целк,Celk,გელა
Артачи,Artachi,არტაში
Кесалаш,Kesalash,სალახ
Вириан,Virian,მირიან
Дубен,Duben,რუბენ
Иорда,Iorda,იორდან
Сократий,Sokratii,სოკრატი
Шална,SHalna,შალვა
Шахпаз,SHahpaz,შახნაზ
Матис,Matis,მაის
Гугуна,Guguna,გუგულა
Шакю,SHakyu,შახი
Сербисто,Serbisto,ერისტო
Вадимир,Vadimir,ვლადიმირ
Якаки,YAkaki,აკაკი
Арутюп,Arutyup,არუტიუნ
Дзын,Dzin,ზინა
Восо,Voso,სოსო
Едигар,Edigar,ედიგარ
Иром,Irom,იროდ
Бутба,Butba,ბუცა
Рушти-оглы,Rushti-ogli,უშანგი
Ясок,YAsok,იასონ
Гусан,Gusan,გუსან
Гусаин,Gusain,გუსეინ
Вакил,Vakil,ვაკილ
Арис,Aris,არის
Герогий,Gerogii,გერონტი
Абубакар,Abubakar,აბუკარ
Сераплон,Seraplon,სერაპიონ
Шай,SHai,შაიგ
Каснок,Kasnok,კასიონ
Фердинанд,Ferdinand,ფერდინანდ
Профиле,Profile,პროკლე
Ерам,Eram,არამ
Яила,YAila,ნაილა
Рахи,Rahi,რატი
Оглы Абдул,Ogli Abdul,აბდულ
Тигенток,Tigentok,ვიგენტი
Дзодза,Dzodza,ძაძუ
Шоста,SHosta,შოთა
Имат,Imat,იმდათ
Поп,Pop,ფოფი
Гентар,Gentar,გენად
Диаген,Diagen,დიოგენ
Шаиро,SHairo,შაქრო
Мыхаел,Mihael,მიქაელ
Гидиван,Gidivan,გედევან
Раждем,Razhdem,რაჟდენ
Ишех,Isheh,აიშე
Джибраил,Dzhibrail,ჟირაირ
Хиско,Hisko,ისკო
Тевось,Tevos,ლევონ
Капрел,Kaprel,კარენ
Мигон,Migon,მირონ
Карит,Karit,კარიმ
Якиме,YAkime,იაკიმე
Естаф,Estaf,ნესტან
Амер.,Amer.,აზერ
Опет,Opet,აპეტ
Павль,Pavl,პავლე
Теодот,Teodot,თეოდორ
Няс,Nyas,ნიაზ
Рафат-оглы,Rafat-ogli,ანატოლი
Ермане,Ermane,გერმანე
Михок,Mihok,მისაკ
Дуби,Dubi,დული
Козьма,Kozma,კოზმა
Аккоки,Akkoki,აკაკი
Омерхан,Omerhan,ამერან
Соико,Soiko,სოფიკო
Каварша,Kavarsha,ნატაშა
Бештя,Beshtya,ბეჟანა
Даниэл,Daniel,დანიელ
Сахим,Sahim,საჰიბ
Этико,Etiko,ეთიკო
Карпели,Karpeli,კარპეზი
Варездат,Varezdat,ვარაზდატ
Теро,Tero,ტერო
Пирмамед-оглы,Pirmamed-ogli,პირმამედ
Каденик,Kadenik,სათენიკ
Тиде,Tide,ტიტე
Патлоз,Patloz,ფატო
Сасум,Sasum,სასუნ
